category,subcategory,goal,pledged,success
Music,Jazz,6000.0,6308.41,True
Publishing,Poetry,5000.0,6614.0,True
Food,Events,2414.0,2468.0,True
Music,Metal,2000.0,2485.0,True
Film & Video,Drama,200.0,200.0,True
Film & Video,Shorts,2000.0,2095.0,True
Fashion,Pet Fashion,10000.0,5319.0,False
Crafts,Embroidery,300.0,1.0,False
Fashion,Apparel,1200.0,2572.0,True
Art,Public Art,4000.0,4220.0,True
Games,Playing Cards,3300.0,4487.0,True
Technology,Robots,26819.0,154.0,False
Design,Design,30000.0,60468.0,True
Fashion,Apparel,20000.0,20713.0,True
Photography,Photography,2500.0,0.0,False
Fashion,Jewelry,3000.0,575.0,False
Food,Food,7000.0,185.0,False
Art,Public Art,88888.0,132663.76,True
Crafts,Crafts,800.0,70.0,False
Crafts,Knitting,15696.0,0.0,False
Games,Puzzles,300.0,3969.0,True
Fashion,Apparel,500.0,500.0,True
Art,Textiles,150.0,339.32,True
Fashion,Ready-to-wear,300.0,381.0,True
Theater,Spaces,8300.0,9170.0,True
Technology,Wearables,70000.0,97525.0,True
Food,Farms,50.0,0.0,False
Theater,Experimental,5000.0,0.0,False
Film & Video,Animation,1000.0,1218.0,True
Fashion,Accessories,65000.0,3285.0,False
Publishing,Poetry,2000.0,2000.0,True
Food,Cookbooks,7500.0,0.0,False
Publishing,Literary Spaces,5200.0,1.0,False
Dance,Workshops,10000.0,10305.0,True
Technology,Flight,35000.0,929212.76,True
Film & Video,Fantasy,11242.0,4.0,False
Film & Video,narrative film,20000.0,455.0,False
Publishing,Translations,14000.0,16352.0,True
Publishing,Poetry,50000.0,110.0,False
Art,Digital Art,20000.0,18.8,False
Fashion,Ready-to-wear,5000.0,10726.0,True
Film & Video,Action,3000.0,3238.0,True
Food,cookbooks,150.0,0.0,False
Film & Video,Experimental,5000.0,5136.0,True
Publishing,Letterpress,15000.0,16208.0,True
Photography,People,5000.0,7065.0,True
Journalism,Print,10000.0,11237.0,True
Crafts,Candles,250.0,296.0,True
Publishing,Calendars,2000.0,0.0,False
Dance,Spaces,8000.0,8675.0,True
Music,indie rock,1450.0,0.0,False
Publishing,Calendars,1000.0,25704.0,True
Crafts,Stationery,4500.0,3362.0,False
Publishing,Nonfiction,10000.0,350.0,False
Film & Video,Music Videos,2814.0,8.0,False
Art,Ceramics,100.0,101.0,True
Theater,Immersive,4000.0,4536.0,True
Design,Graphic Design,40000.0,44229.0,True
Publishing,Literary Journals,2400.0,376.0,False
Publishing,Translations,4000.0,4029.0,True
Crafts,Crochet,100.0,131.0,True
Fashion,Childrenswear,2000.0,2006.0,True
Publishing,Poetry,776.0,65.0,False
Journalism,Journalism,3750.0,3895.0,True
Fashion,Ready-to-wear,10000.0,11679.0,True
Fashion,Couture,450.0,475.0,True
Film & Video,Animation,7000.0,17280.07,True
Art,Ceramics,1400.0,1906.0,True
Publishing,Poetry,600.0,3.0,False
Technology,Technology,33198.0,104511.0,True
Art,Illustration,2491.0,2997.0,True
Art,Art,2500.0,2608.0,True
Music,Country & Folk,10000.0,10817.0,True
Film & Video,Comedy,26.0,125.0,True
Technology,Apps,2000.0,6655.0,True
Film & Video,Experimental,1547.0,1795.0,True
Journalism,Web,350.0,855.0,True
Music,Latin,10000.0,10778.0,True
Crafts,Printing,300.0,45.0,False
Film & Video,Family,5000.0,105.0,False
Art,Textiles,3500.0,46.0,False
Games,Gaming Hardware,5000.0,122838.0,True
Crafts,Crochet,500.0,892.0,True
Theater,Plays,100000.0,0.0,False
Music,Rock,2200.0,3282.0,True
Art,Ceramics,250.0,400.29,False
Comics,Events,700.0,140.0,False
Music,Rock,1000.0,20.0,False
Publishing,Young Adult,1000.0,0.0,False
Film & Video,Family,14000.0,17.0,False
Comics,Webcomics,262.0,490.0,True
Publishing,Literary Journals,10000.0,16.0,False
Film & Video,Documentary,5000.0,126.0,False
Theater,Comedy,2000.0,81.0,False
Crafts,Candles,600.0,732.0,True
Design,Graphic Design,10000.0,2658.0,False
Fashion,Jewelry,35000.0,108893.0,True
Film & Video,Music Videos,4300.0,4654.0,True
Dance,Residencies,7000.0,7305.0,True
Technology,Fabrication Tools,349750.0,435434.0,True
Film & Video,Animation,3000.0,60.0,False
Music,Comedy,90000.0,351.0,False
Games,Gaming Hardware,10000.0,114348.29,True
Film & Video,Fantasy,3000.0,2350.0,False
Comics,Comic Books,7000.0,9233.0,True
Film & Video,Horror,5500.0,1896.0,False
Journalism,Print,20000.0,24225.29,True
Technology,Space Exploration,3000.0,3146.0,True
Publishing,Nonfiction,9750.0,14880.01,True
Food,Restaurants,25000.0,15.0,False
Music,Comedy,7500.0,10093.72,True
Photography,Places,8250.0,0.0,False
Film & Video,Science Fiction,5000000.0,5034809.0,True
Fashion,Childrenswear,100.0,0.0,False
Journalism,Web,25000.0,536.0,False
Music,Classical Music,6000.0,7134.0,True
Design,Architecture,2500.0,311.29,False
Art,Art,6500.0,7267.0,True
Publishing,Periodicals,25000.0,1.0,False
Technology,Space Exploration,110000.0,100.0,False
Music,rock,3000.0,15.0,False
Crafts,Candles,250.0,0.0,False
Technology,Software,17500.0,32822.0,True
Publishing,Young Adult,3000.0,1.0,False
Crafts,Embroidery,1000.0,161.0,False
Art,Conceptual Art,7000.0,8566.0,True
Comics,Webcomics,1045.0,517.0,False
Publishing,nonfiction,60000.0,0.0,False
Fashion,Fashion,10000.0,1122.0,False
Publishing,Anthologies,3936.0,315.0,False
Dance,Residencies,5000.0,5057.0,True
Journalism,Journalism,22.0,0.0,False
Technology,Flight,5000.0,9717.0,True
comics,Graphic Novels,60000.0,10.0,False
Design,Typography,2800.0,3035.0,True
Art,Painting,7500.0,1.0,False
Art,Mixed Media,25000.0,666.0,False
Publishing,Young Adult,15000.0,15325.0,True
Comics,Graphic Novels,4050.0,296.0,False
Technology,Technology,5000.0,8116.0,True
Fashion,Fashion,12000.0,15281.0,True
Comics,Comics,1000.0,1240.0,True
Dance,Residencies,5000.0,6000.0,True
Technology,Hardware,90000.0,129164.0,True
Theater,Immersive,5000.0,5441.0,True
Photography,People,5000.0,5011.0,True
Food,Food Trucks,45000.0,100.0,False
Journalism,Web,8000.0,1.0,False
Music,rock,400.0,0.0,False
Film & Video,Romance,40000.0,8701.0,False
Film & Video,Horror,228.0,698.0,True
Comics,Comic Books,4500.0,6281.0,True
Music,Hip-Hop,1000.0,0.0,False
Photography,Photobooks,5600.0,172.0,False
Journalism,Video,1000.0,1641.3,True
Crafts,Quilts,400.0,515.0,True
Technology,Apps,50000.0,128859.0,True
Art,Digital Art,1500.0,39.0,False
Journalism,Web,406.0,28.0,False
Art,Textiles,200.0,619.0,True
Film & Video,shorts,3545.0,220.0,False
Photography,People,2500.0,80.0,False
Art,Social Practice,2000.0,3340.0,True
Film & Video,Music Videos,3000.0,246.0,False
Games,Mobile Games,10000.0,14605.5,True
Fashion,Accessories,1500.0,1.0,False
Publishing,Radio & Podcasts,5000.0,5.0,False
Crafts,Crochet,150.0,177.0,True
Crafts,Knitting,3000.0,3564.0,True
Dance,Performances,5000.0,0.0,False
Photography,Animals,3000.0,797.0,False
Food,Vegan,11868.0,37212.0,True
Technology,Flight,2500.0,205.0,False
Games,Live Games,20000.0,25627.0,True
Fashion,Ready-to-wear,5000.0,380.0,False
Crafts,Stationery,3388.0,9.0,False
Film & Video,webseries,75000.0,0.0,False
Art,Sculpture,10000.0,35.0,False
Journalism,Journalism,3500.0,4120.0,True
Food,Small Batch,100.0,25.0,False
Art,Installations,6526.0,6678.0,True
Dance,Spaces,10000.0,10546.0,True
Publishing,Radio & Podcasts,500.0,503.0,True
Art,Performance Art,386.0,388.0,True
Film & Video,Comedy,100.0,1.0,False
Design,Design,2504.0,0.0,False
Fashion,Childrenswear,1500.0,1505.0,True
Theater,Plays,2000.0,126.0,False
Design,Interactive Design,1000.0,14.0,False
Film & Video,Festivals,2192.0,2308.0,True
Publishing,Radio & Podcasts,50000.0,21.0,False
Technology,Wearables,50000.0,70706.0,True
Publishing,Zines,15107.0,945.0,False
Photography,Animals,50000.0,78148.0,True
Comics,Comic Books,1200.0,145.0,False
Music,Faith,5000.0,1735.0,False
Comics,Anthologies,4000.0,579.0,False
Art,Ceramics,991.0,1036.0,True
Games,Live Games,550.0,750.0,True
Publishing,academic,10.0,0.0,False
Fashion,Couture,450.0,470.0,True
Fashion,Ready-to-wear,90000.0,1.0,False
comics,Comic Books,3900.0,266.0,False
Design,Design,8888.0,10108.0,True
Film & Video,Fantasy,24000.0,27853.0,True
Publishing,Translations,7500.0,1527.0,False
Crafts,Crafts,727.0,0.0,False
Music,Comedy,350.0,141.0,False
Photography,Photobooks,3000.0,188.0,False
Music,Hip-Hop,150.0,150.5,True
Music,Indie Rock,10000.0,11645.0,True
Publishing,Comedy,6000.0,1.0,False
Publishing,Translations,50000.0,50016.34,True
Games,Live Games,3000.0,18505.0,True
Food,Drinks,3000.0,467.0,False
Crafts,Knitting,975.0,778.0,False
Design,Design,1400.0,70.0,False
Games,Tabletop Games,8000.0,9383.0,True
Music,Music,3543.0,0.0,False
Theater,Theater,8500.0,0.0,False
Theater,Theater,1100.0,1230.0,True
Crafts,Embroidery,1800.0,0.0,False
Publishing,Translations,400.0,476.0,True
Music,Rock,5000.0,3050.0,False
Film & Video,Science Fiction,1000.0,506.0,False
Fashion,Childrenswear,5404.0,383.0,False
Film & Video,Thrillers,5000.0,0.0,False
Technology,3D Printing,300.0,20.0,False
Dance,Spaces,3700.0,4771.0,True
Publishing,Translations,2500.0,2956.0,True
Technology,Web,5000.0,384.0,False
Theater,Spaces,50000.0,0.0,False
Film & Video,Family,27000.0,0.0,False
Film & Video,television,50000.0,827.0,False
Games,Video Games,1200.0,1249.22,True
Crafts,Weaving,20000.0,1.0,False
Art,Sculpture,3000.0,3580.0,True
Music,Electronic Music,4274.0,0.0,False
Technology,Makerspaces,90000.0,7254.0,False
Technology,Gadgets,10000.0,27976.0,False
Theater,Plays,3081.0,3081.0,True
Music,Chiptune,50.0,34.0,False
Food,Restaurants,16000.0,296.0,False
Food,Spaces,30000.0,4995.0,False
Photography,Places,12769.0,34.0,False
Film & Video,Film & Video,3150.0,3290.0,True
Film & Video,Romance,525.0,33.0,False
Food,Small Batch,10000.0,1.0,False
Fashion,Apparel,406.0,35.0,False
Music,Latin,20000.0,0.0,False
Crafts,Embroidery,585.0,138.0,False
Technology,3D Printing,30000.0,538875.0,True
Technology,Web,5474.0,6735.0,True
Theater,Festivals,1000.0,1150.0,True
Film & Video,Narrative Film,22000.0,23014.0,True
Music,Chiptune,31.0,3.0,False
Technology,Technology,19732.0,1.0,False
Music,R&B,2000.0,2070.0,True
Technology,Fabrication Tools,5000.0,8525.0,True
Fashion,Fashion,300.0,1065.0,True
Music,Music,10000.0,3617.0,False
Food,Cookbooks,45000.0,91465.0,True
Dance,Residencies,23000.0,100.0,False
Technology,Hardware,10000.0,16572.0,True
Film & Video,shorts,900.0,190.0,False
Design,Interactive Design,9750.0,10890.0,True
Film & Video,Documentary,25000.0,1.0,False
Publishing,Literary Journals,5000.0,201.0,False
Dance,Workshops,35000.0,60.0,False
Publishing,Anthologies,500.0,6301.0,True
Technology,DIY Electronics,2500.0,2895.0,True
Film & Video,Movie Theaters,5550.0,296.0,False
Games,Video Games,120000.0,175680.0,True
Publishing,nonfiction,4500.0,235.0,False
Publishing,Anthologies,5000.0,4193.0,False
Crafts,Printing,450.0,580.0,True
Publishing,Letterpress,2500.0,4409.0,True
Fashion,Accessories,8000.0,21.0,False
Music,Classical Music,25000.0,28510.0,True
Games,Puzzles,0.0,0.0,False
Games,tabletop games,30000.0,2359.0,False
Dance,Performances,575.0,115.0,False
Technology,Sound,65770.0,105183.0,True
Art,Social Practice,50.0,254.0,True
Dance,Performances,1500.0,1555.0,True
Crafts,Crochet,10.0,16.0,True
Technology,Camera Equipment,10000.0,10818.0,True
Film & Video,Experimental,250000.0,20550.23,False
Film & Video,Webseries,500.0,1521.0,True
Film & Video,Drama,3500.0,0.0,False
Film & Video,Drama,1000.0,1000.0,True
Food,Food,2000.0,250.0,False
Publishing,fiction,3999.0,240.0,False
Food,Food Trucks,20000.0,22251.0,True
Games,tabletop games,10000.0,0.0,False
Music,R&B,10000.0,106.0,False
Food,Food Trucks,80000.0,8586.0,False
Design,Graphic Design,1500.0,1780.66,True
Food,Farmer's Markets,30000.0,30322.0,True
Publishing,Translations,200000.0,0.0,False
Film & Video,Television,2000000.0,5764229.38,True
Games,Puzzles,2370.0,13312.0,True
Fashion,Apparel,35000.0,36542.0,True
Film & Video,Romance,2000.0,106.0,False
Film & Video,Experimental,2300.0,0.0,False
Publishing,Letterpress,11000.0,61.0,False
Technology,Flight,28000.0,33659.99,True
Food,Food,1500.0,1682.0,True
Publishing,fiction,15500.0,64.0,False
Film & Video,Thrillers,65000.0,10001.0,False
Design,Design,500.0,710.0,True
Crafts,Quilts,1250.0,2692.0,True
Music,Chiptune,350.0,590.0,True
Photography,Nature,338.0,3.0,False
Food,Food Trucks,65725.0,68783.0,True
Film & Video,Science Fiction,65000.0,21.0,False
Design,Typography,4700.0,0.0,False
Art,Illustration,450.0,32.0,False
Music,Indie Rock,4500.0,2291.0,False
Publishing,Literary Journals,2500.0,3135.0,True
Photography,Animals,13000.0,301.0,False
Theater,Plays,11000.0,1788.0,False
Publishing,nonfiction,48000.0,700.0,False
Technology,Flight,10000.0,13166.0,True
Technology,Hardware,5000.0,6940.0,True
Art,Ceramics,286.0,16.0,False
Fashion,Childrenswear,18000.0,10649.0,False
Art,Social Practice,1000000.0,2220457.0,True
Fashion,Footwear,6396.0,6882.0,True
Food,Farms,2000.0,2169.0,True
Art,Digital Art,650.0,38.0,False
Film & Video,Shorts,8000.0,1071.0,False
Theater,Comedy,750.0,106.0,False
Publishing,Poetry,8500.0,14414.0,True
Theater,Plays,3713.0,3862.0,True
Technology,Gadgets,10000.0,52546.0,True
Food,Restaurants,100000.0,0.0,False
Technology,Space Exploration,10000.0,10.0,False
Film & Video,webseries,500000.0,260.0,False
Crafts,Crafts,4596.0,1.0,False
Design,Toys,47859.0,157.0,False
Music,Blues,2500.0,895.0,False
Technology,Wearables,35000.0,39303.0,True
Photography,Animals,90.0,32.0,False
Music,Blues,2645.0,2724.0,True
Film & Video,Narrative Film,450.0,126.0,False
Food,Drinks,15000.0,0.0,False
Film & Video,Drama,2500.0,2915.0,True
Comics,Webcomics,25000.0,4231.0,False
Dance,Workshops,30900.0,66.0,False
Music,R&B,15000.0,1568.0,False
Food,Vegan,2995.0,10.0,False
Art,Mixed Media,2600.0,149.0,False
Photography,People,5000.0,6372.0,True
Journalism,Journalism,8326.0,1361.0,False
Food,Farms,100000.0,2.0,False
Food,Food,5750.0,6962.0,True
Fashion,Accessories,300.0,7627.0,True
Film & Video,Narrative Film,5000.0,285.0,False
Music,Classical Music,2500.0,0.0,False
Photography,Nature,45000.0,0.0,False
Publishing,Comedy,3000.0,3077.0,True
Music,Faith,15000.0,16766.77,True
Publishing,Literary Spaces,11651.0,0.0,False
Design,Typography,4000.0,5587.4,True
Food,Bacon,20000.0,24335.0,True
Art,Performance Art,32000.0,40019.0,True
Art,Art,40.0,5.0,False
Music,Punk,5000.0,301.0,False
Theater,Comedy,1500.0,100.0,False
Comics,Anthologies,52900.0,54951.0,True
Music,Electronic Music,2500.0,0.0,False
Food,Community Gardens,100000.0,0.0,False
Art,Public Art,750.0,245.0,False
Games,Playing Cards,15000.0,9473.0,False
Art,Digital Art,11000.0,1035.0,False
Technology,Flight,5000.0,6.0,False
Fashion,Jewelry,350.0,504.0,True
Comics,Events,75000.0,11631.0,False
Games,Games,2500.0,4681.0,True
Film & Video,Music Videos,30000.0,4600.0,False
Games,Mobile Games,6000.0,40.0,False
Comics,Comics,3049.0,3208.0,True
Art,Art,1950.0,2379.0,True
Dance,Workshops,15000.0,2.0,False
Film & Video,Webseries,60000.0,130746.5,True
Film & Video,Science Fiction,6000.0,6094.0,True
Film & Video,Action,1000000.0,792.0,False
Music,Music,12000.0,1162.0,False
Film & Video,Shorts,2000.0,150.0,False
Publishing,Comedy,2000.0,16909.0,True
Theater,Plays,1500.0,795.0,False
Comics,Webcomics,75000.0,351076.0,True
Design,Civic Design,695000.0,6157.0,False
Food,Farmer's Markets,800.0,0.0,False
Art,Art,200000.0,5.0,False
Fashion,Accessories,300.0,2893.0,True
Art,Social Practice,2000.0,398.0,False
Photography,People,3000.0,3105.0,True
Theater,Experimental,376.0,379.0,True
Design,Architecture,2437.0,2510.0,True
Publishing,Zines,283.0,283.0,True
Publishing,Fiction,5500.0,35.0,False
Design,product design,30000.0,10.0,False
Crafts,Crochet,500.0,523.0,True
Art,Sculpture,1000.0,3677.0,True
Publishing,Academic,7250.0,8033.0,True
Games,Mobile Games,5000.0,5000.0,True
Food,Community Gardens,1500.0,1610.0,True
Design,Typography,3170.0,8232.0,True
Technology,Flight,1000.0,1.0,False
Publishing,Literary Journals,2000.0,1.0,False
Film & Video,Horror,35000.0,38272.0,True
Journalism,Web,13690.0,2423.0,False
Design,Design,13590.0,14229.0,True
Art,Video Art,2500.0,2505.0,True
Crafts,Knitting,1000.0,2210.0,True
Crafts,Stationery,4500.0,1171.0,False
Journalism,Video,22.0,41.0,True
Dance,Dance,1592.0,0.0,False
Music,Classical Music,9500.0,14267.0,True
Food,Food,26000.0,26184.0,True
Fashion,Accessories,450.0,1817.0,True
Technology,Fabrication Tools,85000.0,1.0,False
Food,Spaces,399000.0,0.0,False
Music,Faith,500.0,525.0,True
Games,Tabletop Games,33443.0,91.0,False
Technology,3D Printing,100000.0,2647157.0,True
Art,Illustration,350.0,558.0,True
Publishing,Publishing,950.0,125.0,False
Film & Video,Horror,550.0,556.0,True
Comics,Comics,1800.0,1202.0,False
Music,Faith,5000.0,840.0,False
Publishing,Letterpress,10000.0,2.0,False
Film & Video,Thrillers,8000.0,8994.07,True
Fashion,Couture,10000.0,0.0,False
Film & Video,Film & Video,2500.0,2726.0,True
Fashion,Childrenswear,13073.0,310.0,False
Crafts,Crafts,4000.0,31.0,False
Film & Video,Webseries,22000.0,3206.0,False
Games,Gaming Hardware,55640.0,29306.0,False
Photography,Fine Art,3000.0,240.0,False
Publishing,Children's Books,5500.0,16.0,False
Photography,Nature,7000.0,17.0,False
Fashion,Couture,1000.0,2751.0,True
Journalism,Video,3000.0,0.0,False
Film & Video,Animation,188.0,256.0,True
Design,Civic Design,1295000.0,600.0,False
Technology,Robots,42000.0,4899.0,False
Technology,Web,10000.0,12280.0,True
Film & Video,Webseries,400.0,573.0,True
Food,Farms,50000.0,0.0,False
Music,Rock,20000.0,20244.11,True
Games,Games,100.0,1450.0,True
Food,Food Trucks,140000.0,2005.0,False
Art,Video Art,15000.0,2351.0,False
Food,Events,4000.0,61.0,False
Theater,Experimental,3500.0,3974.0,True
comics,Comic Books,13000.0,27609.0,True
Music,Punk,1687.0,1695.0,True
Publishing,Fiction,3800.0,3800.0,True
Games,video games,20000.0,912.0,False
Design,Civic Design,5000.0,5552.0,True
Food,Cookbooks,50000.0,0.0,False
Film & Video,Thrillers,65000.0,115170.0,True
Technology,Technology,10000.0,762.0,False
Theater,Immersive,17779.0,2012.0,False
Theater,Spaces,16413.0,78.0,False
Games,Gaming Hardware,33920.0,11055.0,False
Art,Public Art,2500.0,2629.0,True
Theater,Musical,1130.0,2279.0,True
Crafts,Stationery,2500.0,120.0,False
Music,Hip-Hop,1109.0,2055.0,True
Film & Video,Romance,50000.0,70.0,False
Comics,Comics,3000.0,3256.0,True
Music,Pop,15000.0,15152.17,True
Art,Public Art,5800.0,11365.0,True
Film & Video,Animation,5306.0,2.0,False
Journalism,Video,4000.0,4710.0,True
Publishing,Art Books,100000.0,10247.0,False
Art,Art,7000.0,1430.0,False
Art,Sculpture,400.0,0.0,False
Film & Video,Experimental,150.0,151.0,True
Comics,Webcomics,2500.0,135.0,False
Photography,Photography,4000.0,4243.0,True
Design,Architecture,8000.0,8533.78,True
Publishing,Letterpress,1.0,0.0,False
Technology,Flight,3000.0,50.0,False
Music,Pop,1000.0,0.0,False
Crafts,Crochet,250.0,0.0,False
Film & Video,Horror,350000.0,0.0,False
Technology,Technology,50000.0,61071.0,True
Publishing,Young Adult,400.0,4.29,False
Journalism,Photo,5000.0,6305.0,True
Publishing,Young Adult,31450.0,0.0,False
Publishing,Anthologies,11800.0,6141.0,False
Technology,DIY Electronics,2543.0,62041.0,True
Technology,Makerspaces,90000.0,261.0,False
Publishing,Zines,8000.0,0.0,False
Theater,Spaces,7000.0,1022.0,False
Publishing,Children's Books,11000.0,342.0,False
Crafts,Pottery,500.0,1048.0,True
Film & Video,Comedy,31636.0,96533.0,True
Crafts,Pottery,500.0,800.29,True
Food,Small Batch,35000.0,264.0,False
Games,Gaming Hardware,750.0,0.0,False
Music,Faith,4000.0,850.0,False
Dance,Spaces,2000.0,2040.0,True
Crafts,Quilts,8000.0,80.0,False
Music,Kids,10000.0,11042.26,True
Crafts,Glass,25000.0,25666.0,True
Games,tabletop games,22000.0,5567.0,False
Music,Blues,7500.0,545.0,False
Fashion,Childrenswear,10000.0,10171.0,True
Fashion,Accessories,45000.0,1233.29,False
Games,Video Games,3000.0,3738.0,True
Film & Video,shorts,10000.0,0.0,False
Games,Games,5000.0,5170.0,True
Food,Cookbooks,147846.0,0.0,False
Comics,Graphic Novels,2400.0,2540.88,True
Food,Community Gardens,5000.0,15.0,False
Fashion,Accessories,200.0,123.0,False
Games,Mobile Games,3000.0,3438.93,True
Fashion,Fashion,7000.0,12743.0,True
Comics,Anthologies,6700.0,858.0,False
Crafts,Pottery,1000.0,235.0,False
Art,Digital Art,400.0,2652.0,True
Music,Faith,4500.0,1.0,False
Fashion,Apparel,2500.0,106.0,False
Film & Video,Fantasy,1500.0,819.0,False
Music,Punk,1000.0,320.0,False
Music,Pop,2000.0,2090.0,True
Journalism,Print,15000.0,6077.0,False
Film & Video,Comedy,30000.0,30625.0,True
Fashion,Ready-to-wear,50000.0,52400.52,True
Food,Food Trucks,5000.0,5180.0,True
Art,Illustration,800.0,1143.0,True
Film & Video,Action,100000.0,146.0,False
Fashion,Jewelry,11648.0,87.0,False
Comics,Events,50000.0,862.0,False
Crafts,Pottery,1800.0,4691.0,True
Art,Performance Art,1250.0,1722.0,True
Fashion,Fashion,13942.0,15520.0,True
Games,Playing Cards,7500.0,1474.0,False
Music,Jazz,3000.0,3927.0,True
Comics,Webcomics,13371.0,135944.57,True
Fashion,Apparel,10000.0,10180.0,True
Theater,Musical,6000.0,12141.69,True
Journalism,Web,500.0,895.0,True
Crafts,Glass,2500.0,185.0,False
Art,Installations,3500.0,150.0,False
Music,Metal,9999.0,810.0,False
Games,Gaming Hardware,500.0,0.0,False
Technology,DIY Electronics,10000.0,10650.0,True
Fashion,Ready-to-wear,11810.0,12619.0,True
Comics,Graphic Novels,2500.0,262.0,False
Film & Video,Family,50000.0,66511.0,True
Technology,Camera Equipment,11000.0,35955.29,True
Comics,Webcomics,9000.0,12439.0,True
Food,Food,1101.0,1271.0,True
Crafts,Stationery,300000.0,300029.0,True
Photography,Photography,30000.0,73413.0,True
Music,Kids,800.0,806.0,True
Publishing,Fiction,3500.0,0.0,False
Theater,Plays,500.0,1090.0,True
Technology,Gadgets,5000.0,76.0,False
Film & Video,Film & Video,3500.0,3525.0,True
Dance,Performances,5000.0,5050.0,True
Theater,Musical,10483.0,10483.0,True
Food,Drinks,12300.0,12466.0,True
Art,Ceramics,53960.0,681.0,False
Publishing,Nonfiction,225000.0,1.0,False
Games,Puzzles,1500.0,16545.0,True
Film & Video,Horror,30.0,35.0,True
Film & Video,Animation,400000.0,441900.32,True
Comics,Anthologies,1500.0,137.0,False
Journalism,Web,500.0,500.0,True
Technology,Software,10000.0,17922.0,True
Art,Performance Art,2000.0,2050.0,True
Design,Interactive Design,1000.0,339.0,False
Crafts,Letterpress,2900.0,2992.0,True
Design,Product Design,50000.0,24620.0,False
Art,Sculpture,200.0,1626.0,True
Film & Video,Documentary,3000.0,0.0,False
Music,Latin,24000.0,26020.0,True
Comics,Graphic Novels,14833.0,16934.0,True
Film & Video,Science Fiction,841.0,1124.0,True
Design,product design,150000.0,3.0,False
Technology,Fabrication Tools,9000.0,25.0,False
Publishing,Academic,3916.0,2085.0,False
Food,Vegan,6000.0,125.0,False
Film & Video,Shorts,2923.0,15.0,False
Film & Video,Television,10000.0,10165.0,True
Dance,Dance,500.0,505.0,True
Games,Video Games,200.0,0.0,False
Art,Art,500.0,0.0,False
Art,Conceptual Art,372.0,376.0,True
Games,Mobile Games,1500.0,20.0,False
Publishing,Radio & Podcasts,8500.0,10050.0,True
Music,World Music,9577.0,10157.1,True
Art,Sculpture,2500.0,7995.0,True
Food,Spaces,35000.0,46911.0,True
Food,Food Trucks,100000.0,1.0,False
Photography,Photobooks,4500.0,4502.29,True
Food,Events,2000.0,0.0,False
Photography,Photobooks,12000.0,12106.0,True
comics,Webcomics,11000.0,0.0,False
Publishing,fiction,20000.0,100.0,False
Crafts,Candles,100.0,116.0,True
Publishing,Fiction,5000.0,84.0,False
Food,Small Batch,30.0,16.0,False
Technology,Flight,10000.0,11111.0,True
Technology,Flight,20000.0,2211.0,False
Music,Blues,4000.0,4182.43,True
Film & Video,Comedy,5000.0,5000.0,True
Food,Drinks,5000.0,2915.0,False
Technology,DIY Electronics,2345.0,12805.0,True
Theater,Comedy,15000.0,76.0,False
Music,Rock,2000.0,2214.29,True
Technology,Wearables,199500.0,3886.0,False
Publishing,Poetry,873.0,915.0,True
Film & Video,Comedy,3000.0,8022.0,True
Dance,Spaces,10000.0,16445.0,True
Crafts,Weaving,1000.0,396.0,False
Crafts,Quilts,170.0,200.0,True
Food,Events,1500.0,2213.0,True
Film & Video,Animation,120000.0,847.0,False
Crafts,Printing,350.0,1416.0,True
Film & Video,Festivals,22278.0,19.0,False
Games,Games,3000.0,9354.0,True
Crafts,Candles,1000.0,3136.0,True
Music,Comedy,7500.0,7531.0,True
Film & Video,Festivals,12000.0,15106.0,True
Food,Vegan,100000.0,101.0,False
Music,Rock,8888.0,1637.0,False
Fashion,Couture,2000.0,20.0,False
Food,Small Batch,1514.0,3491.0,True
Technology,Hardware,10000.0,145752.0,True
Food,Spaces,12000.0,131.0,False
Theater,Spaces,50000.0,50803.0,True
Crafts,Woodworking,25000.0,6.0,False
Film & Video,Shorts,250.0,49.0,False
Photography,Animals,5.0,5.0,True
Film & Video,Narrative Film,2500.0,1070.0,False
Dance,Dance,12000.0,14029.0,True
comics,Graphic Novels,4000.0,228.0,False
Music,Electronic Music,2500.0,2670.0,True
Art,Mixed Media,2000.0,200.0,False
Design,Civic Design,10000.0,215.0,False
Film & Video,Family,3500.0,4045.0,True
Music,rock,15000.0,151.0,False
Music,Jazz,1000.0,0.0,False
Technology,Flight,75000.0,328736.0,True
Publishing,Comedy,12500.0,1.0,False
Film & Video,Experimental,4720.0,1.0,False
Film & Video,Narrative Film,5313.0,6930.0,True
Dance,Workshops,4000.0,4070.0,True
Film & Video,Horror,1300.0,2106.0,True
Art,Digital Art,5000.0,5200.0,True
Film & Video,Comedy,10061.0,10136.0,True
Music,Hip-Hop,5000.0,6525.0,True
Art,Digital Art,700.0,142.0,False
Publishing,Comedy,30000.0,31854.32,True
Games,Games,618.0,841.0,True
Comics,Events,25000.0,289.0,False
Film & Video,Action,10000.0,11099.0,True
Crafts,Crochet,3000.0,252.0,False
Crafts,Crafts,610.0,650.0,True
Technology,Camera Equipment,23000.0,55431.0,True
Games,Tabletop Games,200.0,1325.0,True
Publishing,Nonfiction,5000.0,5976.0,True
Technology,Fabrication Tools,25000.0,193167.0,True
Fashion,Childrenswear,50000.0,0.0,False
Comics,Graphic Novels,2000.0,2144.0,True
comics,Graphic Novels,200.0,20.0,False
